WERD,LENGTHofWERD,INITIAL,FREQEST,GROUP,INVENTORY,CONTAINS,MASQ
ABITURIENTS,11,A,0,1,9,ABEINRSTU,7881254
ABJOINT,7,A,0,1,7,ABIJNOT,2180614
ABJOINTING,10,A,0,1,8,ABGIJNOT,2180742
ACATERS,7,A,0,1,6,ACERST,3670058
ACETOMETERS,11,A,0,1,8,ACEMORST,3743786
ACETONURIAS,11,A,0,1,10,ACEINORSTU,7946794
ACMITES,7,A,0,1,7,ACEIMST,3154474
ADREADING,9,A,0,1,7,ADEGINR,541362
AEROSIDERITE,12,A,0,1,8,ADEIORST,3736114
AGAMOIDS,8,A,0,1,7,ADGIMOS,1122962
AGLOSSATE,9,A,0,1,7,AEGLOST,3215522
ALBITIZE,8,A,0,1,7,ABEILTZ,136319526
ALGESIAS,8,A,0,1,6,AEGILS,1053346
ALLINEATIONS,12,A,0,1,8,AEILNOST,3232290
ALPHAMERICALLY,14,A,0,1,10,ACEHILMPRY,67777322
ALTALTISSIMO,12,A,0,1,7,AILMOST,3224066
AMBITTY,7,A,0,1,6,ABIMTY,69214726
AMBLYGONITES,12,A,0,1,12,ABEGILMNOSTY,70349478
AMENORRHOEAS,12,A,0,1,8,AEHMNORS,1663266
AMMONIATIONS,12,A,0,1,7,AIMNOST,3236354
ANEURISMALLY,12,A,0,1,10,AEILMNRSUY,72905250
ANGIOSTOMATOUS,14,A,0,1,9,AGIMNOSTU,7430786
ANTISEPTICIZES,14,A,0,1,9,ACEINPSTZ,137511466
ARETTING,8,A,0,1,7,AEGINRT,2638498
ARRAGONITIC,11,A,0,1,8,ACGINORT,2704010
ASEPTICISE,10,A,0,1,7,ACEIPST,3277354
ASEPTICISING,12,A,0,1,9,ACEGINPST,3293866
ASEPTICIZES,11,A,0,1,8,ACEIPSTZ,137495082
ASPIDIOID,9,A,0,1,6,ADIOPS,1245714
ATARAXIES,9,A,0,1,7,AEIRSTX,37224994
ATTRAHENTS,10,A,0,1,7,AEHNRST,3686690
AUTOMETERS,10,A,0,1,8,AEMORSTU,7938082
AUTOTOXAEMIAS,13,A,0,1,9,AEIMOSTUX,40968738
AUTOTYPOGRAPHY,14,A,0,1,9,AGHOPRTUY,74121602
AVANTURINES,11,A,0,1,9,AEINRSTUV,16269858
AVOUCHABLE,10,A,0,1,9,ABCEHLOUV,12652846
BABESIASES,10,B,0,1,5,ABEIS,1049126
BACCALAUREAN,12,B,0,1,8,ABCELNRU,4739118
BACILLICIDES,12,B,0,1,8,ABCDEILS,1053246
BACILLURIAS,11,B,0,1,8,ABCILRSU,5771790
BACTERISE,9,B,0,1,8,ABCEIRST,3670574
BARGEESE,8,B,0,1,6,ABEGRS,1573030
BARNSBREAKING,13,B,0,1,9,ABEGIKNRS,1591974
BATHOCHROMES,12,B,0,1,10,ABCEHMORST,3744046
BATHYLITE,9,B,0,1,8,ABEHILTY,69210918
BATTEILANT,10,B,0,1,7,ABEILNT,2118182
BEAUXITES,9,B,0,1,8,ABEISTUX,40895014
BELACES,7,B,0,1,6,ABCELS,1052718
BELAMOURE,9,B,0,1,8,ABELMORU,4796454
BENIGHTEN,9,B,0,1,7,BEGHINT,2114468
BEPOWDER,8,B,0,1,7,BDEOPRW,17498164
BESEEKES,8,B,0,1,4,BEKS,1050660
BIPINNARIAS,11,B,0,1,7,ABINPRS,1720838
BLENNORRHOEAS,13,B,0,1,9,ABEHLNORS,1659174
BOLOGRAPHS,10,B,0,1,9,ABGHLOPRS,1773958
BRACHYPRISM,11,B,0,1,10,ABCHIMPRSY,68821774
BRACHYPRISMS,12,B,0,1,10,ABCHIMPRSY,68821774
BRAIRDS,7,B,0,1,6,ABDIRS,1573398
BROMIZING,9,B,0,1,8,BGIMNORZ,134832772
BRONCHOGRAPHIES,15,B,0,1,12,ABCEGHINOPRS,1786798
BRONDEST,8,B,0,1,8,BDENORST,3751988
BROOKWEEDS,10,B,0,1,8,BDEKORSW,18417716
BRUSHWHEEL,10,B,0,1,8,BEHLRSUW,22548772
BUBONOCELES,11,B,0,1,8,BCELNOSU,5328940
BURHELS,7,B,0,1,7,BEHLRSU,5771556
BUTTERINES,10,B,0,1,8,BEINRSTU,7881252
BUTTONMOULDS,12,B,0,1,9,BDLMNOSTU,7434260
CACHAEMIA,9,C,0,1,6,ACEHIM,9002
CACHOLOT,8,C,0,1,6,ACHLOT,2167050
CAIMACAMS,9,C,0,1,5,ACIMS,1057290
CALENDERINGS,12,C,0,1,10,ACDEGILNRS,1594042
CALIATOUR,9,C,0,1,8,ACILORTU,6885898
CANTINESS,9,C,0,1,7,ACEINST,3162666
CARNIFYING,10,C,0,1,8,ACFGINRY,67650250
CARYATIDEAN,11,C,0,6,9,ACDEINRTY,69747258
CASEFIED,8,C,0,1,7,ACDEFIS,1049210
CASSONADES,10,C,0,1,7,ACDENOS,1130554
CATAPHORESES,12,C,0,1,9,ACEHOPRST,3866922
CEDRELACEOUS,12,C,0,1,9,ACDELORSU,5836858
CEMBRAS,7,C,0,1,7,ABCEMRS,1581102
CENTRICALNESS,13,C,0,1,9,ACEILNRST,3691050
CENTURIATOR,11,C,0,1,9,ACEINORTU,6898218
CESAREVNA,9,C,0,1,7,ACENRSV,9977898
CEYLANITE,9,C,0,1,8,ACEILNTY,69227050
CHALANNED,9,C,0,2,7,ACDEHLN,20794
CHEMITYPY,9,C,0,1,8,CEHIMPTY,69346088
CHERISHMENTS,12,C,0,1,9,CEHIMNRST,3695400
CHIMNEYBOARDS,13,C,0,1,13,ABCDEHIMNORSY,68772670
CHOLECYSTITIDES,15,C,0,1,10,CDEHILOSTY,70325048
CHOLEMIAS,9,C,0,1,9,ACEHILMOS,1127210
CHROMATOPHOROUS,15,C,0,1,10,ACHMOPRSTU,8069386
CIMINITES,9,C,0,1,7,CEIMNST,3170856
CINCHONIZING,12,C,0,1,7,CGHINOZ,134300552
CLOTTINESS,10,C,0,1,8,CEILNOST,3232296
COBRIC,6,C,0,1,5,BCIOR,590348
COCKNIFICATION,14,C,0,1,8,ACFIKNOT,2181706
CODEINAS,8,C,0,5,8,ACDEINOS,1131066
COLLOTYPY,9,C,0,1,6,CLOPTY,69406728
COMPACTURES,11,C,0,1,10,ACEMOPRSTU,8069162
CONFERVOIDS,11,C,0,1,10,CDEFINORSV,10044024
COTELINES,9,C,0,1,8,CEILNOST,3232296
CRAVATTING,10,C,0,1,8,ACGINRTV,11027082
